T_hat,T_obs,T_ucl,T_lcl,timestamp
0.0,4.8176610169491525,0.0,0.0,2015-01-01 00:00:00
0.0,5.168016666666664,0.0,0.0,2015-01-01 01:00:00
0.0,4.456716666666666,0.0,0.0,2015-01-01 02:00:00
0.0,3.9183166666666662,0.0,0.0,2015-01-01 03:00:00
0.0,4.012416666666668,0.0,0.0,2015-01-01 04:00:00
0.0,3.8183499999999992,0.0,0.0,2015-01-01 05:00:00
0.0,3.2483666666666675,0.0,0.0,2015-01-01 06:00:00
0.0,4.474733333333334,0.0,0.0,2015-01-01 07:00:00
0.0,10.377616666666661,0.0,0.0,2015-01-01 08:00:00
0.0,12.715499999999999,0.0,0.0,2015-01-01 09:00:00
0.0,13.132666666666664,0.0,0.0,2015-01-01 10:00:00
0.0,14.428333333333338,0.0,0.0,2015-01-01 11:00:00
0.0,15.804666666666666,0.0,0.0,2015-01-01 12:00:00
0.0,15.519666666666664,0.0,0.0,2015-01-01 13:00:00
0.0,15.678333333333336,0.0,0.0,2015-01-01 14:00:00
0.0,15.357666666666667,0.0,0.0,2015-01-01 15:00:00
0.0,13.755,0.0,0.0,2015-01-01 16:00:00
0.0,11.818166666666668,0.0,0.0,2015-01-01 17:00:00
0.0,11.115333333333334,0.0,0.0,2015-01-01 18:00:00
0.0,8.972166666666668,0.0,0.0,2015-01-01 19:00:00
0.0,7.566816666666664,0.0,0.0,2015-01-01 20:00:00
0.0,6.6769,0.0,0.0,2015-01-01 21:00:00
0.0,6.380033333333333,0.0,0.0,2015-01-01 22:00:00
0.0,7.132716666666666,0.0,0.0,2015-01-01 23:00:00
0.0,6.143066666666667,0.0,0.0,2015-01-02 00:00:00
0.0,5.3092500000000005,0.0,0.0,2015-01-02 01:00:00
0.0,5.083866666666666,0.0,0.0,2015-01-02 02:00:00
0.0,5.377200000000002,0.0,0.0,2015-01-02 03:00:00
0.0,5.024233333333331,0.0,0.0,2015-01-02 04:00:00
0.0,4.1733,0.0,0.0,2015-01-02 05:00:00
0.0,4.000033333333333,0.0,0.0,2015-01-02 06:00:00
0.0,4.892883333333333,0.0,0.0,2015-01-02 07:00:00
0.0,9.70293333333333,0.0,0.0,2015-01-02 08:00:00
0.0,12.725166666666667,0.0,0.0,2015-01-02 09:00:00
0.0,13.909333333333334,0.0,0.0,2015-01-02 10:00:00
0.0,14.505333333333336,0.0,0.0,2015-01-02 11:00:00
0.0,14.55166666666667,0.0,0.0,2015-01-02 12:00:00
0.0,14.914500000000002,0.0,0.0,2015-01-02 13:00:00
0.0,15.56,0.0,0.0,2015-01-02 14:00:00
