,T_hat,T_obs,T_ucl,T_lcl
2015-01-01 00:00:00,,4.8176610169491525,,
2015-01-01 01:00:00,,5.168016666666664,,
2015-01-01 02:00:00,,4.456716666666666,,
2015-01-01 03:00:00,,3.9183166666666662,,
2015-01-01 04:00:00,,4.012416666666668,,
2015-01-01 05:00:00,,3.8183499999999992,,
2015-01-01 06:00:00,,3.2483666666666675,,
2015-01-01 07:00:00,,4.474733333333334,,
2015-01-01 08:00:00,,10.377616666666661,,
2015-01-01 09:00:00,,12.715499999999999,,
2015-01-01 10:00:00,,13.132666666666664,,
2015-01-01 11:00:00,,14.428333333333338,,
2015-01-01 12:00:00,,15.804666666666666,,
2015-01-01 13:00:00,,15.519666666666664,,
2015-01-01 14:00:00,,15.678333333333336,,
2015-01-01 15:00:00,,15.357666666666667,,
2015-01-01 16:00:00,,13.755,,
2015-01-01 17:00:00,,11.818166666666668,,
2015-01-01 18:00:00,,11.115333333333334,,
2015-01-01 19:00:00,,8.972166666666668,,
2015-01-01 20:00:00,,7.566816666666664,,
2015-01-01 21:00:00,,6.6769,,
2015-01-01 22:00:00,,6.380033333333333,,
2015-01-01 23:00:00,,7.132716666666666,,
2015-01-02 00:00:00,,6.143066666666667,,
2015-01-02 01:00:00,,5.3092500000000005,,
2015-01-02 02:00:00,,5.083866666666666,,
2015-01-02 03:00:00,,5.377200000000002,,
2015-01-02 04:00:00,,5.024233333333331,,
2015-01-02 05:00:00,,4.1733,,
2015-01-02 06:00:00,,4.000033333333333,,
2015-01-02 07:00:00,,4.892883333333333,,
2015-01-02 08:00:00,,9.70293333333333,,
2015-01-02 09:00:00,,12.725166666666667,,
2015-01-02 10:00:00,,13.909333333333334,,
2015-01-02 11:00:00,,14.505333333333336,,
2015-01-02 12:00:00,,14.55166666666667,,
2015-01-02 13:00:00,,14.914500000000002,,
2015-01-02 14:00:00,,15.56,,
2015-01-02 15:00:00,,15.421333333333331,,
2015-01-02 16:00:00,,13.806000000000004,,
2015-01-02 17:00:00,,12.269000000000005,,
2015-01-02 18:00:00,,12.004833333333329,,
2015-01-02 19:00:00,,11.605166666666669,,
2015-01-02 20:00:00,,9.072000000000001,,
2015-01-02 21:00:00,,8.132283333333332,,
2015-01-02 22:00:00,,7.4174000000000015,,
2015-01-02 23:00:00,,7.434533333333331,,
2015-01-03 00:00:00,,7.187500000000002,,
2015-01-03 01:00:00,,6.540749999999999,,
2015-01-03 02:00:00,,6.209233333333334,,
2015-01-03 03:00:00,,6.384533333333334,,
2015-01-03 04:00:00,,5.629816666666667,,
2015-01-03 05:00:00,,5.640083333333334,,
2015-01-03 06:00:00,,5.143216666666666,,
2015-01-03 07:00:00,,5.736366666666668,,
2015-01-03 08:00:00,,9.982816666666666,,
2015-01-03 09:00:00,,13.182333333333334,,
2015-01-03 10:00:00,,14.51733333333333,,
2015-01-03 11:00:00,,17.439833333333333,,
2015-01-03 12:00:00,,16.48433333333333,,
2015-01-03 13:00:00,,16.21233333333333,,
2015-01-03 14:00:00,,16.165166666666668,,
2015-01-03 15:00:00,,15.934666666666665,,
2015-01-03 16:00:00,,14.351500000000003,,
2015-01-03 17:00:00,,12.818499999999998,,
2015-01-03 18:00:00,,12.479833333333335,,
2015-01-03 19:00:00,,11.881000000000002,,
2015-01-03 20:00:00,,10.15833333333333,,
2015-01-03 21:00:00,,9.114333333333336,,
2015-01-03 22:00:00,,8.491666666666667,,
2015-01-03 23:00:00,,7.9415499999999986,,
2015-01-04 00:00:00,,7.315066666666664,,
2015-01-04 01:00:00,,7.355266666666666,,
2015-01-04 02:00:00,,6.644899999999999,,
2015-01-04 03:00:00,,6.416900000000002,,
2015-01-04 04:00:00,,6.014583333333333,,
